,NAME,ID,NAME_TYPE,CLASS,MASS [kg],FALL,YEAR,LAT,LONG,COORDINATE,COUNTRY,CONTINENT
7218,Dhofar 1534,52403,Valid,H4,3.04,Found,2006,18.1847,54.5892,"(18.18467, 54.58917)",Oman,Asia
7219,Dhofar 1535,52415,Valid,H6,2.01,Found,2006,18.515,54.1055,"(18.515, 54.1055)",Oman,Asia
7225,Dhofar 1540,53882,Valid,H3.9,2.48,Found,2006,18.6387,54.7238,"(18.63867, 54.72383)",Oman,Asia
7229,Dhofar 1544,52418,Valid,L4,2.81,Found,2008,18.3637,54.5653,"(18.36367, 54.56533)",Oman,Asia
7233,Dhofar 1548,52421,Valid,L6,4.07,Found,2008,18.647,54.1755,"(18.647, 54.1755)",Oman,Asia
7240,Dhofar 1554,52425,Valid,L5,3.95,Found,2009,18.6667,54.1508,"(18.66667, 54.15083)",Oman,Asia
7244,Dhofar 1558,53884,Valid,L4,11.4,Found,2009,18.3932,54.6643,"(18.39317, 54.66433)",Oman,Asia
7246,Dhofar 1562,51567,Valid,L6,7.55,Found,2004,18.926,54.3989,"(18.926, 54.39888)",Oman,Asia
7249,Dhofar 1565,51570,Valid,H5,43.0,Found,2008,18.2735,54.2137,"(18.2735, 54.21367)",Oman,Asia
7254,Dhofar 157,6942,Valid,H5,5.3,Found,2000,19.0883,54.7927,"(19.08833, 54.79267)",Oman,Asia
7257,Dhofar 1575,51863,Valid,Ureilite,2.8,Found,2009,18.5333,54.1333,"(18.53333, 54.13333)",Oman,Asia
7258,Dhofar 1576,51864,Valid,L5,7.7,Found,2010,18.5167,54.2333,"(18.51667, 54.23333)",Oman,Asia
7281,Dhofar 1597,52603,Valid,H5,4.56,Found,2004,18.9613,54.3685,"(18.96133, 54.3685)",Oman,Asia
7286,Dhofar 161,6946,Valid,L4,2.51,Found,2000,19.2714,54.8472,"(19.27139, 54.84722)",Oman,Asia
7302,Dhofar 1631,55279,Valid,H5,3.77,Found,2004,18.712,54.4003,"(18.712, 54.40033)",Oman,Asia
7324,Dhofar 1651,55569,Valid,L6,2.17,Found,2011,18.9923,54.4712,"(18.99227, 54.47117)",Oman,Asia
7326,Dhofar 1653,55571,Valid,H6,2.72,Found,2011,18.5979,54.4506,"(18.5979, 54.45062)",Oman,Asia
7327,Dhofar 1654,55572,Valid,L5,50.0,Found,2011,18.6788,54.2876,"(18.67877, 54.2876)",Oman,Asia
